time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010492349642	99.0421	17.4126	1.27149	-1.15497	-0.493705	lidar	1.65042	99.0363	17.357	99.2049	17.503	0.908006	-0.509278
1477010492349642	99.063	17.4841	1.36364	-0.838397	-0.136589	radar	1.75375	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278
1477010493349642	99.9778	16.9565	1.03518	-0.527717	0.161916	lidar	0.88563	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134
1477010493349642	100.059	16.9712	1.06469	-0.456019	0.209991	radar	1.88096	100.441	16.9521	100.117	17.0001	0.944242	-0.512134
1477010494349642	101.182	16.5392	1.3737	-0.21551	0.230822	lidar	0.2563	101.204	16.5368	101.065	16.497	0.991362	-0.513687
1477010494349642	101.151	16.5352	1.15422	-0.265187	0.166267	radar	0.407328	101.169	16.4353	101.065	16.497	0.991362	-0.513687
1477010495349642	102.366	16.3922	1.41315	0.0484665	0.260709	lidar	0.259132	102.387	16.3992	102.063	15.9949	1.04911	-0.512803
1477010495349642	102.275	16.3823	1.12004	0.0111401	0.226405	radar	1.6029	102.081	15.8359	102.063	15.9949	1.04911	-0.512803
1477010496349642	103.032	15.4305	0.638268	-1.0049	-0.547848	lidar	4.20084	103.003	15.353	103.119	15.4967	1.11708	-0.508169
1477010496349642	103.013	15.5078	0.984843	-0.738664	-0.218969	radar	5.23912	102.776	15.1195	103.119	15.4967	1.11708	-0.508169
1477010497349642	104.058	15.2331	1.03764	-0.0838028	0.344295	lidar	2.10772	104.114	15.2708	104.244	15.0064	1.19469	-0.498349
1477010497349642	104.034	15.2143	1.17196	-0.109232	0.327953	radar	0.65617	103.905	14.7607	104.244	15.0064	1.19469	-0.498349
1477010498349642	105.502	14.4885	1.73527	-0.727944	-0.260709	lidar	2.53894	105.541	14.4412	105.447	14.5293	1.28111	-0.481861
1477010498349642	105.46	14.4945	1.72567	-0.689833	-0.20831	radar	0.633499	105.316	14.0026	105.447	14.5293	1.28111	-0.481861
1477010499349642	106.813	14.0176	1.39315	-0.303365	0.188689	lidar	1.22637	106.831	14.0482	106.737	14.0724	1.37529	-0.457255
1477010499349642	106.767	14.001	1.48896	-0.327561	0.178748	radar	1.24583	106.439	14.2401	106.737	14.0724	1.37529	-0.457255
1477010500349642	108.082	13.6598	1.5011	-0.134474	0.188627	lidar	0.00111377	108.084	13.6604	108.122	13.644	1.47592	-0.423202
1477010500349642	108.097	13.6611	1.56033	-0.125759	0.199657	radar	0.0426766	108.131	13.6844	108.122	13.644	1.47592	-0.423202
1477010501349642	109.531	13.5721	1.60665	0.0547173	0.18724	lidar	0.00634357	109.534	13.5714	109.606	13.2536	1.58144	-0.378583
1477010501349642	109.491	13.5667	1.51765	0.0478801	0.180852	radar	0.366729	109.388	13.1556	109.606	13.2536	1.58144	-0.378583
1477010502349642	111.056	12.6349	1.54018	-0.836814	-0.528775	lidar	2.82238	111.063	12.5814	111.196	12.9118	1.69008	-0.322574
1477010502349642	111.156	12.7205	1.95104	-0.619593	-0.230822	radar	3.4957	111.426	12.9557	111.196	12.9118	1.69008	-0.322574
